id,name,tier,engine,emulated,dataset,level,status,input_bytes,archive_bytes,ratio_pct,compress_s_median,decompress_s_median,compress_rss_bytes,verify
tar-bz3,tar.bz3 (bzip3),A,native,False,full,default,ok,57747676,40093667,69.429,7.158,5.793,104759296,decompressed tar SHA-256 matches canonical tar
tar-bz3,tar.bz3 (bzip3),A,native,False,full,max,ok,57747676,38529080,66.72,7.46,6.869,1841889280,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,full,default,ok,57747676,47337929,81.974,1.342,0.09,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz,tar.gz (gzip),A,native,False,full,max,ok,57747676,47308709,81.923,1.501,0.095,1949696,decompressed tar SHA-256 matches canonical tar
tar-gz-zopfli,"tar.gz (zopfli, exhaustive deflate)",A,native,False,full,default,ok,57747676,46723633,80.91,59.673,0.133,440254464,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,full,default,ok,57747676,34888810,60.416,3.047,0.603,540868608,decompressed tar SHA-256 matches canonical tar
tar-lrz,tar.lrz (lrzip),A,native,False,full,max,ok,57747676,34887948,60.414,3.133,0.603,675201024,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,full,default,ok,57747676,51903533,89.88,0.033,0.032,50479104,decompressed tar SHA-256 matches canonical tar
tar-lz4,tar.lz4 (LZ4),A,native,False,full,max,ok,57747676,48768972,84.452,0.394,0.051,83197952,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,full,default,ok,57747676,42419300,73.456,14.984,2.726,94470144,decompressed tar SHA-256 matches canonical tar
tar-lzip,tar.lz (lzip),A,native,False,full,max,ok,57747676,34826094,60.307,16.654,2.28,361955328,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,full,default,ok,57747676,51938261,89.94,0.092,0.076,2195456,decompressed tar SHA-256 matches canonical tar
tar-lzo,tar.lzo (lzop),A,native,False,full,max,ok,57747676,48761182,84.438,3.746,0.074,2539520,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,full,default,ok,57747676,34552713,59.834,3.643,0.992,105185280,decompressed tar SHA-256 matches canonical tar
tar-rz,tar.rz (rzip),A,native,False,full,max,ok,57747676,34545965,59.822,4.648,0.971,138412032,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,full,default,ok,57747676,42165784,73.017,6.727,0.349,381517824,decompressed tar SHA-256 matches canonical tar
tar-xz,tar.xz (xz/LZMA2),A,native,False,full,max,ok,57747676,34634240,59.975,13.509,0.604,681967616,decompressed tar SHA-256 matches canonical tar
tar-z,"tar.Z (compress, LZW 1984)",A,native,False,full,default,ok,57747676,61196382,105.972,1.05,0.47,1966080,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,full,default,ok,57747676,47606144,82.438,0.077,0.047,74235904,decompressed tar SHA-256 matches canonical tar
tar-zst,tar.zst (Zstandard),A,native,False,full,max,ok,57747676,35416026,61.329,6.822,0.05,770555904,decompressed tar SHA-256 matches canonical tar
uharc,"UHARC 0.6b (2005, Wine)",C,wine,True,full,default,timeout,57747676,,,,,,
uharc,"UHARC 0.6b (2005, Wine)",C,wine,True,full,max,timeout,57747676,,,,,,
wim,"WIM (wimlib, LZX)",A,native,False,full,default,ok,57747676,47253422,81.827,0.287,0.147,25411584,18 files verified against manifest
wim,"WIM (wimlib, LZX)",A,native,False,full,max,ok,57747676,47225312,81.779,0.402,0.145,25526272,18 files verified against manifest
xar,xar (macOS eXtensible ARchiver),A,native,False,full,default,ok,57747676,47305399,81.917,1.532,0.119,8945664,18 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,full,default,ok,57747676,47307400,81.921,1.355,0.331,1966080,18 files verified against manifest
zip,ZIP (Info-ZIP),A,native,False,full,max,ok,57747676,47278998,81.872,1.504,0.322,1949696,18 files verified against manifest
zoo,zoo (1986),B,native,False,full,default,ok,57747676,57774249,100.046,2.647,0.182,1949696,decompressed tar SHA-256 matches canonical tar
zoo,zoo (1986),B,native,False,full,max,ok,57747676,47830947,82.827,2.835,1.827,1949696,decompressed tar SHA-256 matches canonical tar
zpaq,zpaq (journaling PAQ-family),A,native,False,full,default,ok,57747676,41842744,72.458,0.716,1.842,251052032,18 files verified against manifest
zpaq,zpaq (journaling PAQ-family),A,native,False,full,max,ok,57747676,32401266,56.108,144.418,149.917,877019136,18 files verified against manifest
apple-archive,"Apple Archive (.aar, lzfse)",A,native,False,images,default,ok,17011359,14331217,84.245,0.054,0.026,39157760,6 files verified against manifest
ar,"ar (appendix: unix archiver, store-only)",A,native,False,images,default,ok,17011359,17018948,100.045,0.062,0.032,1228800,decompressed tar SHA-256 matches canonical tar
arc-sea,"ARC (SEA, 1985)",B,native,False,images,default,failed,17011359,19392634,113.998,,,,
arj,ARJ (1991),B,native,False,images,default,ok,17011359,14176370,83.335,0.43,0.374,2211840,6 files verified against manifest
arj,ARJ (1991),B,native,False,images,max,ok,17011359,14175886,83.332,0.426,0.376,2097152,6 files verified against manifest
cab,"CAB (gcab, MSZIP)",A,native,False,images,default,ok,17011359,14377556,84.517,0.313,0.081,15466496,6 files verified against manifest
cpio,cpio (appendix: store-only),A,native,False,images,default,ok,17011359,17012224,100.005,0.084,0.023,3227648,6 files verified against manifest
dar,dar (Disk ARchive),A,native,False,images,default,ok,17011359,14212900,83.549,0.502,0.117,11468800,6 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,images,default,ok,17011359,14599763,85.824,4.051,0.246,6619136,6 files verified against manifest
dmg-udzo,"DMG (UDZO, zlib-compressed image)",A,native,False,images,max,ok,17011359,14599174,85.82,4.06,0.227,6602752,6 files verified against manifest
